experiment,unit,unit_number,id_1,id_2,id_3,time,date,salinity,pHat25,fileName,unit_ID,alk,insituTemp,pHinsitu_end,pHinsitu_start,dateString,treatName,treatpH,treatTemp,treatOther,dic,tankTemp
Zoea,Chamber,1,grp_1,NA,NA,0.458333333,5/7/21,29.15,7.840580445,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.988375045,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1845.374131,NA
Zoea,Chamber,1,grp_1,NA,NA,0.458333333,5/7/21,29.15,7.825919293,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.973271325,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1850.799411,NA
Zoea,Chamber,1,grp_1,NA,NA,0.458333333,5/7/21,29.15,7.836432784,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.984103947,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1846.918245,NA
Zoea,Chamber,1,grp_1,NA,NA,0.458333333,5/7/21,29.15,7.835123107,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.982755007,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1847.404286,NA
Zoea,Chamber,1,grp_1,NA,NA,0.458333333,5/7/21,29.15,7.844994611,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.992919077,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1843.722653,NA
Zoea,Chamber,1,grp_2,NA,NA,0.458333333,5/7/21,29.15,7.849200631,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.997247419,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1842.14117,NA
Zoea,Chamber,1,grp_2,NA,NA,0.458333333,5/7/21,29.15,7.833380649,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.980960096,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1848.049805,NA
Zoea,Chamber,1,grp_2,NA,NA,0.458333333,5/7/21,29.15,7.828524492,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.975956449,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1849.842033,NA
Zoea,Chamber,1,grp_2,NA,NA,0.458333333,5/7/21,29.15,7.846595447,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.994566632,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1843.12164,NA
Zoea,Chamber,1,grp_2,NA,NA,0.458333333,5/7/21,29.15,7.835942043,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.983598511,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1847.100452,NA
Zoea,Chamber,1,grp_3,NA,NA,0.458333333,5/7/21,29.15,7.83550865,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.983152123,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1847.261281,NA
Zoea,Chamber,1,grp_3,NA,NA,0.458333333,5/7/21,29.15,7.844076185,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.991973757,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1844.06696,NA
Zoea,Chamber,1,grp_3,NA,NA,0.458333333,5/7/21,29.15,7.841638623,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.989464495,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1844.979002,NA
Zoea,Chamber,1,grp_3,NA,NA,0.458333333,5/7/21,29.15,7.851896258,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,8.000020723,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1841.123533,NA
Zoea,Chamber,1,grp_3,NA,NA,0.458333333,5/7/21,29.15,7.838000035,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.985718002,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1846.335648,NA
Zoea,Chamber,1,grp_4,NA,NA,0.458333333,5/7/21,29.15,7.843254787,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.99112825,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1844.374583,NA
Zoea,Chamber,1,grp_4,NA,NA,0.458333333,5/7/21,29.15,7.844994611,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.992919077,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1843.722653,NA
Zoea,Chamber,1,grp_4,NA,NA,0.458333333,5/7/21,29.15,7.843254787,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.99112825,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1844.374583,NA
Zoea,Chamber,1,grp_4,NA,NA,0.458333333,5/7/21,29.15,7.847200539,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.995189331,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1842.894176,NA
Zoea,Chamber,1,grp_5,NA,NA,0.458333333,5/7/21,29.15,7.873754847,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,8.022489053,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1832.752277,NA
Zoea,Chamber,1,grp_5,NA,NA,0.458333333,5/7/21,29.15,7.877383324,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,8.026215387,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1831.341785,NA
Zoea,Chamber,1,grp_5,NA,NA,0.458333333,5/7/21,29.15,7.843254787,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,7.99112825,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1844.374583,NA
Zoea,Chamber,1,grp_5,NA,NA,0.458333333,5/7/21,29.15,7.853352963,IO_validation_May_2021.xlsx,Chamber_1,1990.06275,15,8.001519171,7.833380649,5/7/21,Low_pH_High_T,7.2,15,,1840.572277,NA