SEQ,Manufacturer,CHMBR,BottleTime,BottleDate,BottleNumber,JarID,insert,Manufacturer,Treatment
5,CP,CH09,1506,8/27/21,CH09_02,J2A,COLT,ColtPlastics_insert,MidCO2
6,CP,CH09,1543,8/27/21,CH09_03,J2B,COLT,ColtPlastics_insert,MidCO2
7,CP,CH09,1545,8/27/21,CH09_03,J2C,COLT,ColtPlastics_insert,MidCO2
8,CP,CH09,1651,8/27/21,CH09_04,J2D,COLT,ColtPlastics_insert,MidCO2
9,CP,CH09,1339,8/27/21,CH09_01,J2E,COLT,ColtPlastics_insert,MidCO2
10,CP,CH10,1347,8/27/21,CH10_01,J2F,COLT,ColtPlastics_insert,HiCO2
11,CP,CH10,1349,8/27/21,CH10_01,J2G,COLT,ColtPlastics_insert,HiCO2
12,CP,CH10,1507,8/27/21,CH10_02,J2H,COLT,ColtPlastics_insert,HiCO2
13,CP,CH10,1553,8/27/21,CH10_03,J2I,COLT,ColtPlastics_insert,HiCO2
14,CP,CH10,1644,8/27/21,CH10_04,J2J,COLT,ColtPlastics_insert,HiCO2
15,PP,CH09,1500,8/27/21,CH09_02,J3A,rubberSi,PP_rubberSilicone,MidCO2
16,PP,CH09,1502,8/27/21,CH09_02,J3B,rubberSi,PP_rubberSilicone,MidCO2
17,PP,CH09,1503,8/27/21,CH09_02,J3C,rubberSi,PP_rubberSilicone,MidCO2
18,PP,CH09,1546,8/27/21,CH09_03,J3D,rubberSi,PP_rubberSilicone,MidCO2
19,PP,CH09,1654,8/27/21,CH09_04,J3E,no_insert,PP_no_insert,MidCO2
20,PP,CH09,1648,8/27/21,CH09_04,J3F,no_insert,PP_no_insert,MidCO2
21,PP,CH09,1659,8/27/21,CH09_04,J3G,rubberSi,PP_rubberSilicone,MidCO2
22,PP,CH10,1508,8/27/21,CH10_02,J3H,rubberSi,PP_rubberSilicone,HiCO2
23,PP,CH10,1550,8/27/21,CH10_03,J3I,rubberSi,PP_rubberSilicone,HiCO2
24,PP,CH10,1552,8/27/21,CH10_03,J3J,rubberSi,PP_rubberSilicone,HiCO2
25,PP,CH10,1511,8/27/21,CH10_02,J3K,no_insert,PP_no_insert,HiCO2
26,PP,CH10,1513,8/27/21,CH10_02,J3L,no_insert,PP_no_insert,HiCO2
27,PP,CH10,1553,8/27/21,CH10_03a,J3M,no_insert,PP_no_insert,HiCO2
28,PP,CH10,1645,8/27/21,CH10_04,J3N,no_insert,PP_no_insert,HiCO2
3,CWP,CH10,1343,8/27/21,CH10_01,JA1,rubberSi,CWP_rubberSilicone,HiCO2
1,CWP,CH09,1333,8/27/21,CH09_01,JB1,rubberSi,CWP_rubberSilicone,MidCO2
2,CWP,CH09,1336,8/27/21,CH09_01,JC1,no_insert,CWP_no_insert,MidCO2
4,CWP,CH10,1345,8/27/21,CH10_01,JD1,no_insert,CWP_no_insert,HiCO2